날짜,교통량
2021.01.31,1003
2021.01.31,735
2021.01.31,453
2021.01.31,446
2021.01.31,506
2021.01.31,1098
2021.01.31,2041
2021.01.31,2914
2021.01.31,3435
2021.01.31,4350
2021.01.31,5026
2021.01.31,5603
2021.01.31,5173
2021.01.31,5590
2021.01.31,5601
2021.01.31,5445
2021.01.31,5347
2021.01.31,5211
2021.01.31,4994
2021.01.31,5073
2021.01.31,5135
2021.01.31,5209
2021.01.31,3980
2021.01.31,2289
2021.01.30,1443
2021.01.30,939
2021.01.30,758
2021.01.30,713
2021.01.30,958
2021.01.30,2236
2021.01.30,4003
2021.01.30,4865
2021.01.30,5306
2021.01.30,5432
2021.01.30,5829
2021.01.30,5379
2021.01.30,5529
2021.01.30,5683
2021.01.30,5205
2021.01.30,5294
2021.01.30,5586
2021.01.30,5377
2021.01.30,5057
2021.01.30,4310
2021.01.30,3655
2021.01.30,3782
2021.01.30,2767
2021.01.30,1713
2021.01.29,1135
2021.01.29,732
2021.01.29,587
2021.01.29,574
2021.01.29,854
2021.01.29,2432
2021.01.29,5244
2021.01.29,6262
2021.01.29,5608
2021.01.29,5752
2021.01.29,5848
2021.01.29,5780
2021.01.29,5507
2021.01.29,5578
2021.01.29,5688
2021.01.29,5724
2021.01.29,5949
2021.01.29,5492
2021.01.29,5335
2021.01.29,5039
2021.01.29,5111
2021.01.29,4433
2021.01.29,3395
2021.01.29,2193
2021.01.28,922
2021.01.28,464
2021.01.28,415
2021.01.28,355
2021.01.28,664
2021.01.28,1327
2021.01.28,3884
2021.01.28,6435
2021.01.28,6447
2021.01.28,5821
2021.01.28,4723
2021.01.28,5106
2021.01.28,5074
2021.01.28,4698
2021.01.28,5065
2021.01.28,5046
2021.01.28,4911
2021.01.28,4739
2021.01.28,4936
2021.01.28,3505
2021.01.28,3125
2021.01.28,3147
2021.01.28,2103
2021.01.28,1364
2021.01.27,616
2021.01.27,378
2021.01.27,434
2021.01.27,406
2021.01.27,631
2021.01.27,1744
2021.01.27,3220
2021.01.27,3123
2021.01.27,3306
2021.01.27,3383
2021.01.27,3269
2021.01.27,4991
2021.01.27,4776
2021.01.27,5380
2021.01.27,5339
2021.01.27,5487
2021.01.27,5368
2021.01.27,5080
2021.01.27,4803
2021.01.27,4573
2021.01.27,4154
2021.01.27,3761
2021.01.27,2809
2021.01.27,1743
2021.01.26,1024
2021.01.26,822
2021.01.26,669
2021.01.26,751
2021.01.26,1137
2021.01.26,3156
2021.01.26,5824
2021.01.26,6415
2021.01.26,6027
2021.01.26,5427
2021.01.26,5438
2021.01.26,4651
2021.01.26,4820
2021.01.26,5395
2021.01.26,5283
2021.01.26,5268
2021.01.26,4975
2021.01.26,4806
2021.01.26,3781
2021.01.26,3875
2021.01.26,3993
2021.01.26,3525
2021.01.26,1562
2021.01.26,858
2021.01.25,1428
2021.01.25,859
2021.01.25,628
2021.01.25,813
2021.01.25,1782
2021.01.25,4976
2021.01.25,6756
2021.01.25,6476
2021.01.25,6453
2021.01.25,5697
2021.01.25,5362
2021.01.25,5588
2021.01.25,5638
2021.01.25,5459
2021.01.25,5693
2021.01.25,5501
2021.01.25,5555
2021.01.25,4725
2021.01.25,4232
2021.01.25,3951
2021.01.25,3630
2021.01.25,3205
2021.01.25,2233
2021.01.25,1388
2021.01.24,1134
2021.01.24,696
2021.01.24,521
2021.01.24,419
2021.01.24,532
2021.01.24,1079
2021.01.24,1963
2021.01.24,2686
2021.01.24,3107
2021.01.24,4314
2021.01.24,4911
2021.01.24,5173
2021.01.24,5051
2021.01.24,5554
2021.01.24,5488
2021.01.24,5151
2021.01.24,5075
2021.01.24,5078
2021.01.24,4806
2021.01.24,4886
2021.01.24,4848
2021.01.24,5357
2021.01.24,4189
2021.01.24,2224
2021.01.23,1602
2021.01.23,1079
2021.01.23,785
2021.01.23,699
2021.01.23,932
2021.01.23,2138
2021.01.23,3776
2021.01.23,4640
2021.01.23,5259
2021.01.23,5699
2021.01.23,5733
2021.01.23,5757
2021.01.23,5532
2021.01.23,5734
2021.01.23,5619
2021.01.23,5129
2021.01.23,4931
2021.01.23,5028
2021.01.23,4843
2021.01.23,4316
2021.01.23,3543
2021.01.23,3636
2021.01.23,2807
2021.01.23,1655
2021.01.22,1256
2021.01.22,859
2021.01.22,665
2021.01.22,626
2021.01.22,985
2021.01.22,2526
2021.01.22,5215
2021.01.22,6045
2021.01.22,6039
2021.01.22,4942
2021.01.22,5320
2021.01.22,5569
2021.01.22,5333
2021.01.22,5258
2021.01.22,5510
2021.01.22,5580
2021.01.22,5696
2021.01.22,5528
2021.01.22,5442
2021.01.22,4978
2021.01.22,4925
2021.01.22,4391
2021.01.22,3510
2021.01.22,2028
2021.01.21,1270
2021.01.21,849
2021.01.21,676
2021.01.21,681
2021.01.21,973
2021.01.21,2745
2021.01.21,5927
2021.01.21,6323
2021.01.21,6289
2021.01.21,5639
2021.01.21,5742
2021.01.21,5682
2021.01.21,5388
2021.01.21,5206
2021.01.21,4967
2021.01.21,4995
2021.01.21,4897
2021.01.21,4775
2021.01.21,4702
2021.01.21,4367
2021.01.21,4186
2021.01.21,3844
2021.01.21,2864
2021.01.21,1708
2021.01.20,131
2021.01.20,-1
2021.01.20,-1
2021.01.20,-1
2021.01.20,-1
2021.01.20,-1
2021.01.20,-1
2021.01.20,89
2021.01.20,-2
2021.01.20,-2
2021.01.20,3004
2021.01.20,1522
2021.01.20,450
2021.01.20,-2
2021.01.20,518
2021.01.20,-2
2021.01.20,-2
2021.01.20,-2
2021.01.20,-2
2021.01.20,-2
2021.01.20,301
2021.01.20,-1
2021.01.20,259
2021.01.20,-1
2021.01.19,1023
2021.01.19,752
2021.01.19,641
2021.01.19,652
2021.01.19,932
2021.01.19,2629
2021.01.19,5572
2021.01.19,6298
2021.01.19,5887
2021.01.19,5966
2021.01.19,5905
2021.01.19,5130
2021.01.19,5630
2021.01.19,5257
2021.01.19,5374
2021.01.19,5443
2021.01.19,5417
2021.01.19,4952
2021.01.19,4910
2021.01.19,4519
2021.01.19,3575
2021.01.19,3476
2021.01.19,2267
2021.01.19,1599
2021.01.18,1301
2021.01.18,721
2021.01.18,608
2021.01.18,649
2021.01.18,1372
2021.01.18,3499
2021.01.18,5842
2021.01.18,5659
2021.01.18,4850
2021.01.18,4682
2021.01.18,4873
2021.01.18,4588
2021.01.18,4556
2021.01.18,4438
2021.01.18,4481
2021.01.18,4891
2021.01.18,4336
2021.01.18,4285
2021.01.18,4538
2021.01.18,3445
2021.01.18,2942
2021.01.18,2881
2021.01.18,1896
2021.01.18,1323
2021.01.17,1003
2021.01.17,686
2021.01.17,456
2021.01.17,415
2021.01.17,447
2021.01.17,989
2021.01.17,1702
2021.01.17,2380
2021.01.17,2977
2021.01.17,4138
2021.01.17,4884
2021.01.17,5031
2021.01.17,5339
2021.01.17,5312
2021.01.17,5854
2021.01.17,5787
2021.01.17,5661
2021.01.17,5337
2021.01.17,5069
2021.01.17,5173
2021.01.17,4820
2021.01.17,5086
2021.01.17,3641
2021.01.17,1749
2021.01.16,1455
2021.01.16,1024
2021.01.16,744
2021.01.16,695
2021.01.16,889
2021.01.16,2053
2021.01.16,3817
2021.01.16,4723
2021.01.16,5133
2021.01.16,5678
2021.01.16,6006
2021.01.16,5620
2021.01.16,5699
2021.01.16,5724
2021.01.16,5288
2021.01.16,5340
2021.01.16,5253
2021.01.16,5038
2021.01.16,5257
2021.01.16,4333
2021.01.16,3655
2021.01.16,3555
2021.01.16,2551
2021.01.16,1574
2021.01.15,1257
2021.01.15,913
2021.01.15,677
2021.01.15,673
2021.01.15,1047
2021.01.15,2747
2021.01.15,5610
2021.01.15,6340
2021.01.15,6115
2021.01.15,4957
2021.01.15,5767
2021.01.15,5735
2021.01.15,5621
2021.01.15,5534
2021.01.15,5595
2021.01.15,5463
2021.01.15,5543
2021.01.15,5394
2021.01.15,5254
2021.01.15,4765
2021.01.15,4392
2021.01.15,5352
2021.01.15,3485
2021.01.15,2012
2021.01.14,1119
2021.01.14,830
2021.01.14,709
2021.01.14,646
2021.01.14,973
2021.01.14,2804
2021.01.14,5672
2021.01.14,6309
2021.01.14,6317
2021.01.14,5951
2021.01.14,5934
2021.01.14,5855
2021.01.14,5757
2021.01.14,5578
2021.01.14,5269
2021.01.14,5091
2021.01.14,5235
2021.01.14,5119
2021.01.14,3752
2021.01.14,4678
2021.01.14,4403
2021.01.14,3668
2021.01.14,2529
2021.01.14,1574
2021.01.13,931
2021.01.13,744
2021.01.13,675
2021.01.13,609
2021.01.13,862
2021.01.13,2352
2021.01.13,5052
2021.01.13,5942
2021.01.13,5857
2021.01.13,5593
2021.01.13,5499
2021.01.13,5665
2021.01.13,5186
2021.01.13,5358
2021.01.13,5114
2021.01.13,5224
2021.01.13,5164
2021.01.13,4366
2021.01.13,4720
2021.01.13,4350
2021.01.13,3690
2021.01.13,3300
2021.01.13,2362
2021.01.13,1608
2021.01.12,1011
2021.01.12,872
2021.01.12,722
2021.01.12,662
2021.01.12,1037
2021.01.12,2746
2021.01.12,5467
2021.01.12,6207
2021.01.12,6197
2021.01.12,5766
2021.01.12,5755
2021.01.12,5737
2021.01.12,5554
2021.01.12,5358
2021.01.12,5154
2021.01.12,4681
2021.01.12,4576
2021.01.12,4375
2021.01.12,4239
2021.01.12,4202
2021.01.12,3921
2021.01.12,2551
2021.01.12,1701
2021.01.12,1207
2021.01.11,1266
2021.01.11,787
2021.01.11,627
2021.01.11,720
2021.01.11,1564
2021.01.11,4520
2021.01.11,6703
2021.01.11,6147
2021.01.11,5842
2021.01.11,5465
2021.01.11,5798
2021.01.11,5586
2021.01.11,5398
2021.01.11,5340
2021.01.11,5362
2021.01.11,5313
2021.01.11,5265
2021.01.11,4903
2021.01.11,4817
2021.01.11,4265
2021.01.11,3851
2021.01.11,3287
2021.01.11,2166
2021.01.11,1473
2021.01.10,824
2021.01.10,548
2021.01.10,375
2021.01.10,331
2021.01.10,396
2021.01.10,755
2021.01.10,1434
2021.01.10,2003
2021.01.10,2221
2021.01.10,3178
2021.01.10,4397
2021.01.10,4625
2021.01.10,4634
2021.01.10,4945
2021.01.10,5101
2021.01.10,5427
2021.01.10,5077
2021.01.10,4625
2021.01.10,4292
2021.01.10,4141
2021.01.10,4182
2021.01.10,4197
2021.01.10,3105
2021.01.10,1920
2021.01.09,1109
2021.01.09,835
2021.01.09,698
2021.01.09,619
2021.01.09,726
2021.01.09,1649
2021.01.09,2814
2021.01.09,3528
2021.01.09,3851
2021.01.09,4531
2021.01.09,5214
2021.01.09,5125
2021.01.09,5358
2021.01.09,5357
2021.01.09,5504
2021.01.09,5337
2021.01.09,5220
2021.01.09,4790
2021.01.09,4195
2021.01.09,3334
2021.01.09,2775
2021.01.09,2781
2021.01.09,1924
2021.01.09,1260
2021.01.08,847
2021.01.08,663
2021.01.08,643
2021.01.08,550
2021.01.08,748
2021.01.08,1805
2021.01.08,4275
2021.01.08,5502
2021.01.08,4854
2021.01.08,4810
2021.01.08,5444
2021.01.08,5225
2021.01.08,4909
2021.01.08,5057
2021.01.08,4921
2021.01.08,5034
2021.01.08,4953
2021.01.08,4233
2021.01.08,3995
2021.01.08,4492
2021.01.08,3820
2021.01.08,3354
2021.01.08,2307
2021.01.08,1475
2021.01.07,1778
2021.01.07,1579
2021.01.07,784
2021.01.07,886
2021.01.07,907
2021.01.07,1561
2021.01.07,3607
2021.01.07,4216
2021.01.07,3966
2021.01.07,3749
2021.01.07,4253
2021.01.07,4343
2021.01.07,4385
2021.01.07,4404
2021.01.07,4145
2021.01.07,4544
2021.01.07,4174
2021.01.07,4299
2021.01.07,4147
2021.01.07,3290
2021.01.07,2398
2021.01.07,2200
2021.01.07,1465
2021.01.07,1039
2021.01.06,1133
2021.01.06,829
2021.01.06,703
2021.01.06,625
2021.01.06,915
2021.01.06,2492
2021.01.06,5202
2021.01.06,6424
2021.01.06,6038
2021.01.06,5712
2021.01.06,6011
2021.01.06,5768
2021.01.06,5553
2021.01.06,5289
2021.01.06,5295
2021.01.06,5420
2021.01.06,5311
2021.01.06,5143
2021.01.06,4721
2021.01.06,3638
2021.01.06,1841
2021.01.06,1708
2021.01.06,1823
2021.01.06,1517
2021.01.05,1086
2021.01.05,786
2021.01.05,632
2021.01.05,691
2021.01.05,1055
2021.01.05,2657
2021.01.05,5379
2021.01.05,6323
2021.01.05,6040
2021.01.05,5222
2021.01.05,4928
2021.01.05,4442
2021.01.05,5146
2021.01.05,5441
2021.01.05,5303
2021.01.05,5447
2021.01.05,5273
2021.01.05,5080
2021.01.05,4985
2021.01.05,4453
2021.01.05,3702
2021.01.05,3305
2021.01.05,2153
2021.01.05,1473
2021.01.04,1295
2021.01.04,813
2021.01.04,633
2021.01.04,717
2021.01.04,1700
2021.01.04,4885
2021.01.04,6847
2021.01.04,6355
2021.01.04,5432
2021.01.04,5101
2021.01.04,5857
2021.01.04,5589
2021.01.04,5345
2021.01.04,5014
2021.01.04,5482
2021.01.04,5222
2021.01.04,5247
2021.01.04,4992
2021.01.04,5059
2021.01.04,4486
2021.01.04,3465
2021.01.04,3248
2021.01.04,2113
2021.01.04,1530
2021.01.03,904
2021.01.03,533
2021.01.03,455
2021.01.03,364
2021.01.03,449
2021.01.03,821
2021.01.03,1495
2021.01.03,2029
2021.01.03,2512
2021.01.03,3427
2021.01.03,4479
2021.01.03,4894
2021.01.03,5080
2021.01.03,5478
2021.01.03,5797
2021.01.03,5791
2021.01.03,5452
2021.01.03,5096
2021.01.03,4623
2021.01.03,4584
2021.01.03,4594
2021.01.03,4552
2021.01.03,3404
2021.01.03,2000
2021.01.02,865
2021.01.02,658
2021.01.02,508
2021.01.02,466
2021.01.02,609
2021.01.02,1290
2021.01.02,2215
2021.01.02,2877
2021.01.02,3390
2021.01.02,4278
2021.01.02,5340
2021.01.02,5470
2021.01.02,5320
2021.01.02,5878
2021.01.02,5740
2021.01.02,5173
2021.01.02,5302
2021.01.02,4839
2021.01.02,4075
2021.01.02,3448
2021.01.02,3262
2021.01.02,3156
2021.01.02,2105
2021.01.02,1434
2021.01.01,1183
2021.01.01,1093
2021.01.01,783
2021.01.01,600
2021.01.01,696
2021.01.01,1169
2021.01.01,1977
2021.01.01,2763
2021.01.01,3309
2021.01.01,4197
2021.01.01,5171
2021.01.01,5536
2021.01.01,5288
2021.01.01,5623
2021.01.01,5407
2021.01.01,5248
2021.01.01,4984
2021.01.01,4150
2021.01.01,3223
2021.01.01,2865
2021.01.01,2816
2021.01.01,2631
2021.01.01,2000
2021.01.01,1250
