T3 교통량,T5 교통량,T4
4573,3770,-803
364,366,2
4628,3771,-857
356,304,-52
5363,4628,-735
4730,3958,-772
2797,2663,-134
1129,1134,5
780,845,65
951,997,46
2077,2042,-35
5014,4507,-507
6630,6297,-333
5497,5339,-158
608,743,135
5013,5091,78
403,485,82
5122,5270,148
321,302,-19
4975,5328,353
334,300,-34
4905,5011,106
251,276,25
4491,4674,183
223,207,-16
4792,4703,-89
251,237,-14
4906,4772,-134
227,201,-26
4535,4349,-186
234,222,-12
4503,4362,-141
257,242,-15
4373,4216,-157
194,237,43
4312,3307,-1005
237,242,5
4020,2781,-1239
244,245,1
3443,2694,-749
201,206,5
3236,2782,-454
2472,2235,-237
1883,1697,-186
1643,1553,-90
1334,1300,-34
938,1031,93
801,853,52
738,773,35
1188,1235,47
3024,2761,-263
5391,4753,-638
5416,5423,7
515,568,53
5168,5031,-137
305,336,31
4993,5211,218
295,286,-9
5030,5089,59
276,298,22
4670,4729,59
258,344,86
4597,4634,37
255,280,25
4746,4673,-73
240,211,-29
4521,4578,57
229,212,-17
4392,4163,-229
219,200,-19
4442,4354,-88
230,227,-3
4280,4159,-121
215,229,14
4296,3224,-1072
235,243,8
3998,2727,-1271
246,252,6
3248,2564,-684
207,221,14
3173,2700,-473
2426,2293,-133
1843,1825,-18
1320,1263,-57
931,974,43
771,825,54
739,808,69
1039,1081,42
2661,2286,-375
5073,4252,-821
5250,5331,81
475,525,50
5036,4937,-99
298,329,31
5015,5189,174
260,248,-12
4845,5055,210
271,232,-39
4947,5016,69
238,247,9
4783,4856,73
199,208,9
4467,4255,-212
228,207,-21
4536,4439,-97
223,194,-29
4281,4220,-61
211,219,8
4084,3948,-136
224,213,-11
4136,3894,-242
237,258,21
4254,3087,-1167
240,245,5
3830,2486,-1344
270,256,-14
3308,2406,-902
173,199,26
2895,2549,-346
2456,2190,-266
1829,1732,-97
1339,1334,-5
984,1057,73
702,780,78
629,695,66
879,955,76
2079,1958,-121
4328,3834,-494
4622,4432,-190
435,543,108
4063,3254,-809
349,425,76
3686,3226,-460
354,352,-2
3906,4273,367
268,286,18
4410,4521,111
279,254,-25
4542,4553,11
248,252,4
4442,4379,-63
246,236,-10
4456,4330,-126
237,237,0
4541,4430,-111
232,226,-6
4553,4428,-125
272,253,-19
4309,4092,-217
192,228,36
4265,3338,-927
255,272,17
3881,2856,-1025
280,250,-30
3068,2456,-612
180,204,24
3060,2575,-485
2503,2207,-296
1829,1678,-151
1478,1394,-84
932,949,17
750,746,-4
772,818,46
1316,1333,17
3131,2822,-309
5601,4847,-754
5355,5227,-128
554,609,55
5126,5017,-109
342,346,4
5084,5301,217
336,312,-24
4892,4906,14
308,313,5
4865,5116,251
274,307,33
4893,5005,112
296,310,14
5004,4801,-203
301,307,6
5014,5233,219
299,314,15
4909,5233,324
276,281,5
4989,5135,146
317,321,4
4925,4950,25
353,354,1
5136,4417,-719
344,366,22
4679,3576,-1103
415,387,-28
4415,3596,-819
375,382,7
5623,4885,-738
4200,3832,-368
2815,2638,-177
2111,1992,-119
1454,1404,-50
1056,1073,17
1030,1028,-2
1568,1561,-7
3625,3477,-148
5620,5453,-167
5253,5266,13
556,588,32
5307,4873,-434
471,498,27
4907,4614,-293
425,500,75
4708,4711,3
387,448,61
4842,4651,-191
372,370,-2
4908,4833,-75
347,347,0
4977,4845,-132
334,343,9
4945,4914,-31
370,325,-45
5037,4990,-47
350,336,-14
4658,4116,-542
382,344,-38
4761,4045,-716
348,319,-29
4815,3721,-1094
360,330,-30
4376,3553,-823
302,311,9
3834,3134,-700
234,231,-3
3618,3034,-584
2949,2538,-411
2174,1927,-247
1476,1357,-119
846,971,125
641,742,101
596,678,82
699,803,104
1506,1618,112
2738,2779,41
3112,3067,-45
299,330,31
3504,3384,-120
280,239,-41
3884,3908,24
257,257,0
4551,4509,-42
244,228,-16
4822,4673,-149
236,218,-18
4694,4373,-321
267,223,-44
4994,4526,-468
251,240,-11
4994,4671,-323
279,254,-25
5055,4840,-215
309,290,-19
5023,4735,-288
339,313,-26
4665,4263,-402
296,263,-33
4539,3800,-739
324,301,-23
4450,3696,-754
326,336,10
4633,3773,-860
296,273,-23
5083,4427,-656
4111,3651,-460
2591,2403,-188
1477,1445,-32
988,1018,30
724,786,62
847,874,27
1961,1934,-27
5039,4501,-538
6649,6274,-375
5435,5410,-25
562,710,148
5186,5097,-89
340,406,66
5017,5069,52
288,264,-24
4883,4506,-377
274,299,25
4595,4903,308
208,234,26
4810,4843,33
213,200,-13
4803,4745,-58
213,202,-11
4105,4104,-1
232,188,-44
4732,4641,-91
206,199,-7
4755,4508,-247
227,227,0
4578,4409,-169
206,212,6
4426,3432,-994
227,256,29
3945,2782,-1163
260,265,5
3263,2597,-666
190,196,6
2995,2590,-405
2548,2281,-267
1838,1719,-119
1370,1322,-48
1020,1058,38
769,833,64
709,717,8
1170,1201,31
2931,2667,-264
5222,4571,-651
5428,5317,-111
492,553,61
5217,4938,-279
292,327,35
5237,5277,40
306,270,-36
4959,5283,324
288,267,-21
4802,5018,216
250,247,-3
3937,4106,169
192,181,-11
3815,4030,215
212,206,-6
4290,4207,-83
232,199,-33
4250,4222,-28
205,192,-13
4722,4589,-133
257,227,-30
4301,4100,-201
186,211,25
4055,3147,-908
228,241,13
3816,2731,-1085
230,246,16
3234,2475,-759
200,204,4
2938,2537,-401
2455,2181,-274
1581,1549,-32
1138,1124,-14
849,921,72
647,730,83
634,710,76
1065,1078,13
2763,2505,-258
4975,4474,-501
5366,5183,-183
439,509,70
5242,4984,-258
284,295,11
5173,5361,188
270,248,-22
4979,5251,272
283,258,-25
4937,5016,79
274,254,-20
4743,4854,111
237,207,-30
4882,4789,-93
226,195,-31
4697,4639,-58
226,182,-44
4620,4612,-8
237,197,-40
4571,4413,-158
229,210,-19
4465,4147,-318
208,251,43
4321,3342,-979
243,257,14
3841,2733,-1108
251,284,33
3310,2591,-719
197,208,11
3208,2763,-445
2341,2106,-235
1602,1537,-65
1217,1240,23
823,878,55
636,663,27
619,700,81
1066,1103,37
2792,2581,-211
5273,4595,-678
5525,5347,-178
443,530,87
5184,4979,-205
279,320,41
5261,5368,107
287,266,-21
4489,4818,329
252,226,-26
5085,5243,158
241,237,-4
4926,4936,10
217,201,-16
4835,4778,-57
213,214,1
4600,4621,21
222,192,-30
4785,4637,-148
222,213,-9
4501,4389,-112
281,230,-51
4336,4172,-164
221,252,31
4294,3271,-1023
222,251,29
3886,2739,-1147
255,263,8
3462,2808,-654
205,204,-1
3298,2746,-552
2406,2217,-189
1685,1638,-47
1150,1134,-16
862,939,77
644,725,81
676,720,44
1153,1206,53
2881,2599,-282
5029,4474,-555
5221,5044,-177
466,539,73
5158,5044,-114
301,320,19
5103,5291,188
263,246,-17
4814,5022,208
248,240,-8
4897,5077,180
269,243,-26
4732,4761,29
255,220,-35
4820,4827,7
239,243,4
4786,4790,4
248,247,-1
4886,5113,227
294,277,-17
4915,4837,-78
299,270,-29
5081,4833,-248
296,316,20
4990,4202,-788
305,354,49
4555,3577,-978
351,367,16
4487,3790,-697
363,387,24
5452,4768,-684
4045,3747,-298
2585,2534,-51
1637,1689,52
1100,1206,106
844,875,31
833,893,60
1348,1434,86
3150,3125,-25
5047,4871,-176
5015,4822,-193
515,548,33
4981,4930,-51
346,349,3
5073,5171,98
335,335,0
5051,5342,291
349,314,-35
5024,5059,35
324,301,-23
4610,4391,-219
284,252,-32
5019,4844,-175
288,283,-5
5058,4990,-68
315,295,-20
4052,4145,93
273,275,2
4947,4851,-96
334,320,-14
4598,4129,-469
311,283,-28
4118,3391,-727
289,281,-8
3915,3213,-702
254,243,-11
3290,2732,-558
185,177,-8
3436,2929,-507
2695,2409,-286
1685,1491,-194
1031,1011,-20
697,712,15
466,470,4
427,456,29
612,590,-22
1393,1418,25
2662,2628,-34
2953,2813,-140
263,261,-2
3130,2998,-132
194,185,-9
3620,3534,-86
205,214,9
4133,3995,-138
225,208,-17
4428,4252,-176
213,188,-25
4514,4067,-447
213,206,-7
4737,4338,-399
245,227,-18
4988,4574,-414
263,234,-29
4884,4581,-303
291,261,-30
4789,4415,-374
285,280,-5
4539,4085,-454
267,249,-18
4144,3404,-740
301,269,-32
4300,3644,-656
264,289,25
4296,3586,-710
248,249,1
4797,4187,-610
3688,3206,-482
2287,2114,-173
1312,1393,81
855,941,86
630,684,54
776,789,13
1829,1802,-27
4629,4191,-438
6414,6021,-393
5556,5507,-49
593,716,123
4978,4878,-100
277,323,46
4969,4856,-113
230,220,-10
4901,5132,231
245,225,-20
4888,4962,74
229,200,-29
4646,4494,-152
206,184,-22
4585,4516,-69
189,180,-9
4593,4612,19
219,205,-14
4745,4695,-50
229,201,-28
4575,4406,-169
249,212,-37
4364,4150,-214
204,215,11
4410,3323,-1087
265,250,-15
3760,2702,-1058
249,260,11
3043,2459,-584
187,200,13
3031,2574,-457
2233,2033,-200
1448,1450,2
1377,1133,-244
981,875,-106
738,681,-57
676,643,-33
1194,1068,-126
3135,2659,-476
5662,4659,-1003
5455,4714,-741
402,471,69
5231,4535,-696
262,312,50
5035,4638,-397
263,321,58
4915,4553,-362
228,313,85
4966,4479,-487
238,301,63
4765,4055,-710
250,286,36
4821,3943,-878
198,244,46
4631,3828,-803
231,256,25
4347,3750,-597
224,252,28
4483,3578,-905
235,274,39
4548,3550,-998
211,303,92
4102,2956,-1146
249,266,17
3228,2068,-1160
230,272,42
3326,2172,-1154
188,254,66
3000,2223,-777
2467,1956,-511
2040,1559,-481
1378,1051,-327
1000,832,-168
729,624,-105
722,615,-107
1139,978,-161
3148,2674,-474
5697,4606,-1091
5430,4260,-1170
422,503,81
5178,3981,-1197
289,347,58
4893,4069,-824
253,320,67
4731,4078,-653
241,288,47
4718,4018,-700
260,308,48
4889,4014,-875
223,294,71
4666,3814,-852
209,266,57
4111,3419,-692
214,269,55
4477,3688,-789
223,251,28
4496,3707,-789
237,282,45
4512,3467,-1045
224,301,77
4160,2951,-1209
210,278,68
3900,2436,-1464
242,252,10
3374,2250,-1124
200,261,61
3309,2362,-947
2740,2087,-653
2041,1629,-412
1463,1145,-318
1109,911,-198
734,603,-131
744,641,-103
1167,1003,-164
2905,2442,-463
5522,4466,-1056
5275,4315,-960
420,493,73
4291,3615,-676
270,322,52
4707,4247,-460
266,301,35
4335,3869,-466
262,301,39
4643,4156,-487
253,323,70
4817,4198,-619
259,328,69
4947,4206,-741
276,279,3
4818,4092,-726
268,319,51
4672,3821,-851
234,321,87
4841,4107,-734
281,337,56
5050,4104,-946
248,333,85
4963,3809,-1154
308,359,51
4348,3077,-1271
328,354,26
3856,2839,-1017
347,426,79
5094,3948,-1146
3674,3042,-632
2845,2372,-473
1910,1602,-308
1339,1200,-139
1037,962,-75
922,865,-57
1474,1413,-61
3172,2890,-282
5106,4613,-493
5321,4405,-916
481,551,70
5217,4027,-1190
393,477,84
4799,3842,-957
326,420,94
4723,3832,-891
374,441,67
4844,4023,-821
339,403,64
4698,3816,-882
284,362,78
4856,3834,-1022
291,353,62
4676,3829,-847
359,394,35
4971,3809,-1162
351,390,39
5026,3919,-1107
383,418,35
4992,3588,-1404
354,400,46
4682,3307,-1375
300,338,38
4300,3041,-1259
264,305,41
3468,2464,-1004
205,263,58
4003,2980,-1023
3370,2532,-838
2519,1925,-594
1550,1231,-319
1043,830,-213
736,621,-115
644,543,-101
869,802,-67
1866,1642,-224
2869,2489,-380
2782,2380,-402
264,302,38
3143,2737,-406
194,258,64
3822,3336,-486
229,288,59
4296,3499,-797
246,301,55
4422,3609,-813
250,269,19
4374,3387,-987
221,255,34
4223,3174,-1049
280,272,-8
5106,3821,-1285
276,313,37
5243,3826,-1417
296,329,33
4933,3759,-1174
288,327,39
4822,3578,-1244
291,330,39
4643,3433,-1210
303,303,0
4604,3420,-1184
314,336,22
4438,3279,-1159
269,318,49
5400,4126,-1274
4722,3727,-995
3113,2516,-597
1626,1381,-245
1008,889,-119
741,687,-54
824,720,-104
1986,1774,-212
5243,4426,-817
7082,5940,-1142
5483,4287,-1196
550,692,142
5025,3920,-1105
294,365,71
4962,3996,-966
264,284,20
4956,4176,-780
236,286,50
4814,4090,-724
226,311,85
4684,3830,-854
248,280,32
4905,3900,-1005
215,275,60
4444,3587,-857
241,268,27
4710,3812,-898
213,277,64
4344,3457,-887
231,265,34
4554,3614,-940
206,287,81
4155,2876,-1279
230,301,71
3778,2331,-1447
225,264,39
3387,2240,-1147
179,271,92
3041,2263,-778
2533,2012,-521
1813,1499,-314
1294,1069,-225
976,784,-192
764,677,-87
691,604,-87
1176,1049,-127
3059,2485,-574
5555,4349,-1206
5572,4296,-1276
396,480,84
5090,4003,-1087
256,329,73
5090,4192,-898
258,338,80
4910,4171,-739
230,287,57
4702,3886,-816
221,281,60
4701,3872,-829
227,304,77
4687,3819,-868
204,277,73
4538,3651,-887
238,286,48
4416,3639,-777
183,266,83
4362,3489,-873
218,277,59
4518,3531,-987
208,272,64
4189,2878,-1311
206,254,48
3800,2374,-1426
238,264,26
3165,2186,-979
182,249,67
3003,2271,-732
2551,2021,-530
1933,1454,-479
1362,1076,-286
997,838,-159
694,594,-100
700,588,-112
1096,998,-98
2906,2406,-500
5421,4414,-1007
5470,4215,-1255
418,488,70
5093,3987,-1106
264,331,67
4982,4091,-891
245,332,87
4440,3299,-1141
231,312,81
4139,3417,-722
212,259,47
4245,3545,-700
204,254,50
4694,3783,-911
240,296,56
4346,3553,-793
218,271,53
3697,3201,-496
204,285,81
4374,3623,-751
231,272,41
4336,3602,-734
204,273,69
4062,2781,-1281
255,287,32
3586,2206,-1380
251,270,19
3358,2280,-1078
202,261,59
3134,2343,-791
2628,2111,-517
2039,1682,-357
1312,1106,-206
960,846,-114
706,633,-73
690,623,-67
1119,1010,-109
3010,2543,-467
5632,4579,-1053
5450,4204,-1246
403,506,103
5174,4198,-976
269,335,66
5065,4290,-775
274,322,48
4905,4119,-786
240,299,59
5011,3970,-1041
254,286,32
4859,3876,-983
225,290,65
4802,3886,-916
213,265,52
3971,3757,-214
410,281,-129
2878,2895,17
214,245,31
4411,3629,-782
223,274,51
4485,3549,-936
221,274,53
4354,2979,-1375
201,263,62
3750,2267,-1483
245,267,22
3344,2259,-1085
190,251,61
3382,2538,-844
2648,2106,-542
2105,1711,-394
1416,1154,-262
999,823,-176
716,613,-103
657,554,-103
1139,1022,-117
2471,2104,-367
5065,4048,-1017
5225,3977,-1248
416,523,107
4979,3943,-1036
255,323,68
4723,3947,-776
250,294,44
4829,4065,-764
228,289,61
4889,3999,-890
236,303,67
4786,4000,-786
228,301,73
4855,3947,-908
249,296,47
4752,4017,-735
238,316,78
4779,3953,-826
252,306,54
4941,4149,-792
268,333,65
4964,4162,-802
304,367,63
4785,3531,-1254
275,344,69
4245,2950,-1295
334,361,27
4074,2766,-1308
347,338,-9
4767,3730,-1037
3531,2868,-663
2716,2276,-440
1933,1606,-327
1342,1096,-246
982,849,-133
927,779,-148
1382,1253,-129
3251,2978,-273
4916,4454,-462
5273,4271,-1002
429,484,55
4929,4130,-799
336,406,70
4983,4143,-840
364,402,38
4843,4116,-727
338,396,58
4890,4082,-808
333,378,45
4699,3795,-904
288,341,53
4806,3803,-1003
303,327,24
5112,3938,-1174
320,411,91
4842,3759,-1083
372,420,48
5144,3848,-1296
315,363,48
5159,3766,-1393
338,374,36
4602,3352,-1250
307,368,61
4299,3010,-1289
297,300,3
3602,2694,-908
205,230,25
3953,3305,-648
3331,2743,-588
2422,2113,-309
1503,1340,-163
936,847,-89
684,636,-48
588,590,2
847,828,-19
1762,1681,-81
2699,90,-2609
2743,33,-2710
281,30,-251
3139,329,-2810
201,21,-180
3667,3608,-59
227,219,-8
4313,4093,-220
229,221,-8
4370,3665,-705
203,236,33
4512,3643,-869
235,284,49
4741,3824,-917
246,271,25
4752,3938,-814
285,321,36
4522,3600,-922
314,363,49
4583,3536,-1047
297,345,48
4436,3309,-1127
265,328,63
4384,3241,-1143
304,353,49
4223,3141,-1082
321,346,25
4285,2992,-1293
286,321,35
4863,3737,-1126
4274,3430,-844
2811,2324,-487
1615,1355,-260
900,807,-93
670,670,0
753,743,-10
1480,1388,-92
3967,3383,-584
6155,5157,-998
4998,3403,-1595
527,661,134
4649,3600,-1049
301,395,94
4225,3480,-745
266,329,63
4306,3322,-984
247,336,89
3890,3342,-548
238,292,54
4101,3391,-710
229,316,87
4047,3282,-765
236,310,74
3955,3275,-680
224,336,112
4124,3441,-683
216,288,72
4148,3529,-619
254,302,48
3953,3383,-570
179,275,96
3721,2632,-1089
207,295,88
3247,2114,-1133
228,287,59
3094,2115,-979
189,266,77
2850,2130,-720
2264,1817,-447
1648,1337,-311
1148,930,-218
849,750,-99
652,532,-120
668,621,-47
909,829,-80
2343,1922,-421
5128,4119,-1009
5111,3948,-1163
426,501,75
5091,3977,-1114
257,337,80
4923,4454,-469
230,289,59
4879,4811,-68
221,213,-8
4782,4175,-607
229,279,50
4572,3700,-872
208,258,50
4623,3687,-936
198,261,63
4626,3780,-846
235,281,46
4716,3853,-863
216,265,49
4661,3722,-939
215,272,57
4481,3623,-858
213,284,71
4078,2889,-1189
221,288,67
3532,2178,-1354
236,246,10
3345,2231,-1114
184,250,66
2967,2188,-779
2477,1896,-581
1856,1474,-382
1378,1206,-172
1052,1087,35
752,796,44
702,813,111
1243,1325,82
3207,2974,-233
5591,5012,-579
5522,5334,-188
419,479,60
5248,5130,-118
270,274,4
5103,5127,24
261,231,-30
4920,4975,55
286,254,-32
4330,4528,198
250,233,-17
3973,4086,113
229,214,-15
4738,4681,-57
212,198,-14
4762,4635,-127
257,222,-35
4592,4446,-146
218,200,-18
4513,4495,-18
233,203,-30
4521,4505,-16
194,215,21
4264,3592,-672
215,218,3
3804,2887,-917
223,213,-10
3249,2565,-684
200,214,14
3192,2586,-606
2592,2276,-316
2196,1908,-288
3849,3968,119
244,227,-17
3904,4022,118
211,204,-7
3814,3809,-5
216,221,5
3771,3834,63
228,214,-14
3804,3810,6
227,206,-21
4076,4220,144
205,233,28
4399,3736,-663
221,211,-10
3950,2838,-1112
239,230,-9
3543,2731,-812
184,210,26
3395,2779,-616
2813,2409,-404
2204,1919,-285
1430,1263,-167
1072,1023,-49
779,742,-37
701,693,-8
1206,1172,-34
3191,2891,-300
5815,5215,-600
5482,5349,-133
450,503,53
5173,5054,-119
258,277,19
4748,4322,-426
274,277,3
3932,4481,549
254,255,1
3867,4023,156
219,225,6
1511,1329,-182
1032,969,-63
758,742,-16
730,707,-23
1204,1185,-19
3092,2754,-338
5633,4981,-652
5500,5089,-411
432,471,39
5140,4983,-157
288,275,-13
4970,5102,132
265,242,-23
4940,5036,96
253,237,-16
4758,4925,167
258,278,20
4837,4934,97
257,246,-11
4703,4716,13
253,231,-22
4781,4841,60
271,253,-18
4687,4686,-1
239,231,-8
5056,5218,162
291,275,-16
4893,4974,81
286,296,10
4786,4584,-202
280,295,15
4589,3745,-844
342,339,-3
4218,3522,-696
325,327,2
5000,4203,-797
3629,3223,-406
2735,2412,-323
2000,1798,-202
1406,1355,-51
990,922,-68
960,902,-58
1388,1380,-8
3105,3023,-82
5162,4968,-194
5476,5243,-233
472,509,37
4803,4803,0
373,372,-1
4866,4883,17
362,343,-19
4817,4908,91
337,329,-8
4789,4892,103
327,298,-29
4589,4406,-183
283,276,-7
4846,4427,-419
286,267,-19
4977,4810,-167
338,331,-7
4925,4515,-410
339,318,-21
4823,4310,-513
360,309,-51
5028,4682,-346
297,282,-15
4603,3885,-718
310,278,-32
4281,3081,-1200
271,203,-68
1540,146,-1394
2020,70,-1950
2189,2074,-115
214,218,4
2466,2311,-155
202,200,-2
3299,3179,-120
229,212,-17
3994,3731,-263
226,227,1
4369,4077,-292
234,194,-40
4330,3868,-462
186,192,6
4741,4210,-531
227,219,-8
4564,4170,-394
286,251,-35
5051,4741,-310
274,262,-12
4872,4402,-470
303,275,-28
4682,4244,-438
256,234,-22
4324,3899,-425
258,246,-12
4336,3891,-445
320,281,-39
4308,3608,-700
233,241,8
5002,4222,-780
4168,3443,-725
2526,2250,-276
1455,1353,-102
938,898,-40
691,739,48
785,916,131
1615,1705,90
4244,3976,-268
6790,6421,-369
5438,5546,108
498,598,100
4676,4295,-381
276,275,-1
4532,4372,-160
264,297,33
4451,4510,59
256,219,-37
4732,4769,37
241,228,-13
4713,4519,-194
230,193,-37
4736,4528,-208
215,196,-19
4550,4393,-157
228,217,-11
4759,4559,-200
219,213,-6
4697,4560,-137
244,199,-45
4339,4236,-103
253,220,-33
4182,3436,-746
193,203,10
3709,2773,-936
241,243,2
2875,2259,-616
180,169,-11
2960,2473,-487
2332,1979,-353
1815,1592,-223
1228,1143,-85
962,906,-56
767,781,14
703,712,9
1267,1224,-43
3249,2859,-390
5919,5283,-636
5537,5358,-179
397,474,77
5200,5028,-172
231,249,18
4242,4604,362
228,221,-7
3930,4471,541
249,249,0
3864,4244,380
230,230,0
3773,4101,328
213,214,1
3967,4128,161
198,190,-8
3770,2067,-1703
228,95,-133
3888,1197,-2691
201,69,-132
4475,4464,-11
219,208,-11
4391,3631,-760
228,233,5
3803,2814,-989
216,208,-8
3428,2654,-774
204,202,-2
3095,2546,-549
2650,2227,-423
1988,1724,-264
1362,1199,-163
985,986,1
768,771,3
703,757,54
1143,1180,37
2515,2400,-115
4180,3741,-439
4057,3806,-251
418,489,71
4087,3973,-114
312,336,24
4505,4374,-131
285,266,-19
4397,4417,20
288,251,-37
4396,4458,62
266,240,-26
4318,4277,-41
241,216,-25
4444,4296,-148
243,217,-26
4039,3989,-50
272,249,-23
4082,4024,-58
226,200,-26
4260,4085,-175
238,217,-21
4332,4211,-121
199,218,19
4092,3515,-577
217,222,5
3704,2749,-955
239,225,-14
3148,2382,-766
179,205,26
3029,2353,-676
2517,2077,-440
1971,1661,-310
1291,1168,-123
947,880,-67
726,708,-18
672,654,-18
959,966,7
2420,2142,-278
4837,4214,-623
5145,4952,-193
424,496,72
4750,4660,-90
283,285,2
4743,4894,151
277,262,-15
4576,4693,117
266,223,-43
4551,4516,-35
251,233,-18
4370,4301,-69
231,205,-26
4288,4098,-190
207,194,-13
3748,3773,25
243,233,-10
3353,3328,-25
224,217,-7
3413,3374,-39
221,229,8
3373,3315,-58
203,218,15
3388,2925,-463
253,231,-22
3078,2310,-768
248,233,-15
3065,2229,-836
220,214,-6
3063,2492,-571
2184,1896,-288
1801,1601,-200
1307,1255,-52
915,974,59
680,714,34
673,625,-48
953,917,-36
2322,2067,-255
5001,4300,-701
5095,4677,-418
400,471,71
4857,4615,-242
253,252,-1
4703,4744,41
220,219,-1
4825,4872,47
254,224,-30
4500,4544,44
241,210,-31
4482,4378,-104
238,212,-26
4718,4706,-12
244,237,-7
4750,4902,152
263,260,-3
4881,4797,-84
306,269,-37
4902,5050,148
281,276,-5
4511,4862,351
306,328,22
4439,4305,-134
276,294,18
4329,3564,-765
333,342,9
4135,3279,-856
343,353,10
4492,3901,-591
3385,2995,-390
2534,2176,-358
1901,1678,-223
1340,1206,-134
1019,954,-65
919,896,-23
1374,1367,-7
3003,2828,-175
4957,4709,-248
4982,4833,-149
403,411,8
4403,4293,-110
325,310,-15
4982,5137,155
299,275,-24
4785,4962,177
353,320,-33
4852,4824,-28
322,294,-28
4727,4593,-134
291,298,7
4435,3961,-474
278,267,-11
5039,4800,-239
302,292,-10
4856,4567,-289
350,309,-41
5216,4658,-558
332,302,-30
4866,4377,-489
285,265,-20
4728,4065,-663
289,259,-30
4121,3535,-586
271,232,-39
3530,2905,-625
213,204,-9
3841,3085,-756
3180,2635,-545
2371,1967,-404
1543,1323,-220
987,838,-149
703,634,-69
575,537,-38
814,792,-22
1802,1722,-80
2891,2777,-114
2868,2904,36
252,263,11
3172,2933,-239
211,211,0
3462,3419,-43
196,199,3
4353,4212,-141
237,208,-29
4736,4681,-55
215,189,-26
4352,4056,-296
224,212,-12
4767,4193,-574
244,225,-19
4792,4454,-338
283,271,-12
5079,4471,-608
295,262,-33
4756,4147,-609
280,258,-22
4602,4141,-461
270,263,-7
4548,4096,-452
293,266,-27
4349,3856,-493
304,300,-4
4544,3656,-888
265,274,9
5077,4135,-942
4562,3893,-669
2929,2663,-266
1578,1398,-180
996,968,-28
727,812,85
867,1003,136
1727,1751,24
4663,4211,-452
6319,6150,-169
5075,5147,72
561,674,113
4973,4891,-82
282,323,41
4798,4643,-155
278,246,-32
4994,5033,39
290,267,-23
4507,4582,75
223,207,-16
4500,4444,-56
226,226,0
4500,4276,-224
236,218,-18
4458,4487,29
224,208,-16
4639,4351,-288
230,221,-9
4809,4515,-294
215,220,5
4556,4303,-253
179,187,8
4428,3627,-801
231,229,-2
3654,2695,-959
204,213,9
3172,2367,-805
190,191,1
3153,2633,-520
2470,2156,-314
1719,1523,-196
1201,1133,-68
903,879,-24
727,708,-19
684,681,-3
992,978,-14
2657,2363,-294
5515,2260,-3255
5283,2590,-2693
381,225,-156
4604,4466,-138
228,238,10
4655,4771,116
246,231,-15
4567,4720,153
246,221,-25
4605,4699,94
247,227,-20
4494,4333,-161
214,211,-3
4636,4301,-335
208,196,-12
4246,4274,28
252,222,-30
4167,4153,-14
248,219,-29
4382,4078,-304
220,205,-15
4469,4401,-68
205,219,14
3893,3458,-435
188,226,38
3658,2802,-856
225,233,8
3515,2704,-811
217,207,-10
3111,2507,-604
2692,2357,-335
1945,1903,-42
1361,205,-1156
735,559,-176
666,744,78
984,1084,100
2206,2083,-123
4296,3861,-435
4715,4030,-685
426,486,60
4808,4950,142
295,325,30
4678,4699,21
237,230,-7
4795,3744,-1051
261,184,-77
4518,198,-4320
266,20,-246
4765,1088,-3677
247,71,-176
4767,3571,-1196
256,212,-44
4575,3636,-939
221,219,-2
4646,4447,-199
247,227,-20
4189,4153,-36
217,214,-3
3708,3326,-382
206,221,15
3443,2592,-851
244,231,-13
3339,2382,-957
204,219,15
3233,2677,-556
2494,2178,-316
1932,1679,-253
1383,1312,-71
941,940,-1
720,739,19
674,518,-156
410,63,-347
4835,2112,-2723
248,103,-145
4807,5008,201
256,247,-9
4852,4807,-45
251,218,-33
4889,4743,-146
229,216,-13
4721,4789,68
253,246,-7
4516,4455,-61
198,196,-2
4588,4458,-130
212,200,-12
4583,4418,-165
230,238,8
4367,3609,-758
217,211,-6
3892,2992,-900
249,249,0
3395,2670,-725
195,187,-8
3311,2741,-570
2844,2359,-485
2075,1857,-218
1531,1381,-150
1094,1031,-63
794,771,-23
737,744,7
1249,1201,-48
3011,2762,-249
5584,4808,-776
5423,5047,-376
431,479,48
5196,5036,-160
305,300,-5
4815,4904,89
268,252,-16
4737,4660,-77
302,283,-19
4919,5134,215
287,289,2
4907,4975,68
325,286,-39
4833,4945,112
281,308,27
4877,5095,218
316,317,1
4967,5116,149
311,315,4
5035,5236,201
380,374,-6
5055,5173,118
351,363,12
5103,4896,-207
351,364,13
4440,3899,-541
361,347,-14
4211,3544,-667
388,414,26
5458,4419,-1039
4237,3606,-631
3494,3134,-360
2258.302332,2263.595163,5.292830406
